portfolio,order,slug,title,state,year,place,location,print-type,edition,edition-type,image,thumb,image-home,image-biz,height,width
zion-national-park-autumn,7,last-leaves-zion-national-park,Last Leaves,Utah,2013,Kolob Canyons,Taylor Creek,Handmade Cibachrome,30,Limited,last-leaves-zion-national-park.jpg,last-leaves-zion-national-park.jpg,last-leaves-zion-national-park-home.jpg,last-leaves-zion-national-park-biz.jpg,1600,1280
zion-national-park,1,leaf-and-sand-zion-national-park,Leaf and Sand,Utah,2015,Zion National Park,Clear Creek,Handmade Cibachrome,30,Limited,leaf-and-sand-zion-national-park.jpg,leaf-and-sand-zion-national-park.jpg,leaf-and-sand-zion-national-park-home.jpg,leaf-and-sand-zion-national-park-biz.jpg,1920,2400
zion-national-park-autumn,4,leaf-and-yucca-zion-national-park,Leaf and Yucca,Utah,2016,Zion National Park,Kolob Canyons,Handmade Cibachrome,30,Limited,leaf-and-yucca-zion-national-park.jpg,leaf-and-yucca-zion-national-park.jpg,leaf-and-yucca-zion-national-park-home.jpg,leaf-and-yucca-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn-ii,15,leaf-chute-zion-national-park,Leaf Chute,Utah,2013,Zion National Park,Clear Creek,Handmade Cibachrome,30,Limited,leaf-chute-zion-national-park.jpg,leaf-chute-zion-national-park.jpg,leaf-chute-zion-national-park-home.jpg,leaf-chute-zion-national-park-biz.jpg,2160,1747
zion-national-park-autumn-ii,4,leaves-pretending-to-be-water-zion-national-park,Leaves Pretending to be Water,Utah,2012,Zion National Park,Echo Canyon,Handmade Cibachrome,20,Limited,leaves-pretending-to-be-water-zion-national-park.jpg,leaves-pretending-to-be-water-zion-national-park.jpg,leaves-pretending-to-be-water-zion-national-park-home.jpg,leaves-pretending-to-be-water-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn,9,leaves-reflecting-sky-zion-national-park,Leaves Reflecting Sky,Utah,2017,Zion National Park,Upper East Side,Handmade Cibachrome,30,Limited,leaves-reflecting-sky-zion-national-park.jpg,leaves-reflecting-sky-zion-national-park.jpg,leaves-reflecting-sky-zion-national-park-home.jpg,leaves-reflecting-sky-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn,15,leaves-relaxing-in-stream-zion-national-park,Leaves Relaxing in Stream,Utah,2005,Zion National Park,East Side Canyon,Handmade Cibachrome,30,Limited,leaves-relaxing-in-stream-zion-national-park.jpg,leaves-relaxing-in-stream-zion-national-park.jpg,leaves-relaxing-in-stream-zion-national-park-home.jpg,leaves-relaxing-in-stream-zion-national-park-biz.jpg,2160,2786
zion-national-park-autumn-ii,18,leaves-water-stone-zion-national-park,"Leaves, Water, Stone",Utah,2007,Zion National Park,Pine Creek,Handmade Cibachrome,30,Limited,leaves-water-stone-zion-national-park.jpg,leaves-water-stone-zion-national-park.jpg,leaves-water-stone-zion-national-park-home.jpg,leaves-water-stone-zion-national-park-biz.jpg,2160,1719
zion-national-park-autumn,16,luminaries-zion-national-park,Luminaries,Utah,2014,Zion National Park,Zion Canyon,Handmade Cibachrome,30,Limited,luminaries-zion-national-park.jpg,luminaries-zion-national-park.jpg,luminaries-zion-national-park-home.jpg,luminaries-zion-national-park-biz.jpg,2160,1696
zion-national-park-autumn-ii,2,luminous-pine-zion-national-park,Luminous Pine,Utah,2018,Zion National Park,East Side Canyon,Handmade Cibachrome,30,Limited,luminous-pine-zion-national-park.jpg,luminous-pine-zion-national-park.jpg,luminous-pine-zion-national-park-home.jpg,luminous-pine-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn,1,maple-canopy-zion-national-park,Maple Canopy,Utah,2020,Zion National Park,Clear Creek,Handmade Cibachrome,30,Limited,maple-canopy-zion-national-park.jpg,maple-canopy-zion-national-park.jpg,maple-canopy-zion-national-park-home.jpg,maple-canopy-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn-ii,6,maples-in-rain-zion-national-park,Maples in Rain,Utah,2016,Zion National Park,Main Canyon,Handmade Cibachrome,30,Limited,maples-in-rain-zion-national-park.jpg,maples-in-rain-zion-national-park.jpg,maples-in-rain-zion-national-park-home.jpg,maples-in-rain-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn-ii,11,morning-maples-zion-national-park,Morning Maples,Utah,2019,Zion National Park,Zion Canyon,Handmade Cibachrome,20,Limited,morning-maples-zion-national-park.jpg,morning-maples-zion-national-park.jpg,morning-maples-zion-national-park-home.jpg,morning-maples-zion-national-park-biz.jpg,1600,1280
zion-national-park,7,old-friends-zion-national-park,Old Friends,Utah,2016,Zion National Park,Upper East Side,Handmade Cibachrome,30,Limited,old-friends-zion-national-park.jpg,old-friends-zion-national-park.jpg,old-friends-zion-national-park-home.jpg,old-friends-zion-national-park-biz.jpg,1820,2400
zion-national-park-autumn,18,old-trunk-and-maples-zion-national-park,Old Trunk and Maples,Utah,2013,Zion National Park,East Side,Handmade Cibachrome,30,Limited,old-trunk-and-maples-zion-national-park.jpg,old-trunk-and-maples-zion-national-park.jpg,old-trunk-and-maples-zion-national-park-home.jpg,old-trunk-and-maples-zion-national-park-biz.jpg,2160,1723
zion-national-park-autumn,3,pine-and-maples-zion-national-park,Pine and Maples,Utah,2017,Zion National Park,East Side Canyon,Handmade Cibachrome,30,Limited,pine-and-maples-zion-national-park.jpg,pine-and-maples-zion-national-park.jpg,pine-and-maples-zion-national-park-home.jpg,pine-and-maples-zion-national-park-biz.jpg,1600,1280
zion-national-park-ancient-sands,1,pink-tapestry-zion-national-park,Pink Tapestry,Utah,2015,Zion National Park,Center of the Universe,Handmade Cibachrome,30,Limited,pink-tapestry-zion-national-park.jpg,pink-tapestry-zion-national-park.jpg,pink-tapestry-zion-national-park-home.jpg,pink-tapestry-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn,5,radiant-trees-at-dusk-zion-national-park,Radiant Trees at Dusk,Utah,2012,Zion National Park,Kolob Canyons,Handmade Cibachrome,30,Limited,radiant-trees-at-dusk-zion-national-park.jpg,radiant-trees-at-dusk-zion-national-park.jpg,radiant-trees-at-dusk-zion-national-park-home.jpg,radiant-trees-at-dusk-zion-national-park-biz.jpg,1920,2400
zion-national-park-watercourse-way,3,reflections-14-zion-national-park,Reflections #14,Utah,2012,Zion National Park,Virgin River,Handmade Cibachrome,30,Limited,reflections-14-zion-national-park.jpg,reflections-14-zion-national-park.jpg,reflections-14-zion-national-park-home.jpg,reflections-14-zion-national-park-biz.jpg,1920,2400
zion-national-park-watercourse-way,4,reflections-03-zion-national-park,Reflections #3,Utah,2012,Zion National Park,Virgin River,Handmade Cibachrome,30,Limited,reflections-03-zion-national-park.jpg,reflections-03-zion-national-park.jpg,reflections-03-zion-national-park-home.jpg,reflections-03-zion-national-park-biz.jpg,1448,2400
zion-national-park,9,remnants-zion-national-park,Remnants,Utah,2014,Zion Canyon,Virgin River,Handmade Cibachrome,30,Limited,remnants-zion-national-park.jpg,remnants-zion-national-park.jpg,remnants-zion-national-park-home.jpg,remnants-zion-national-park-biz.jpg,1600,1272
zion-national-park-autumn-ii,10,root-chaos-zion-national-park,Root Chaos,Utah,2011,Zion National Park,Upper East Side,Handmade Cibachrome,20,Limited,root-chaos-zion-national-park.jpg,root-chaos-zion-national-park.jpg,root-chaos-zion-national-park-home.jpg,root-chaos-zion-national-park-biz.jpg,1600,1280
the-american-west,17,sandstone-tapestry-zion-national-park,Sandstone Tapestry,Utah,2012,Zion National Park,Upper Pine Creek,Handmade Cibachrome,30,Limited,sandstone-tapestry-zion-national-park.jpg,sandstone-tapestry-zion-national-park.jpg,sandstone-tapestry-zion-national-park-home.jpg,sandstone-tapestry-zion-national-park-biz.jpg,2160,1717
zion-national-park-autumn-ii,9,solemnity-zion-national-park,Solemnity,Utah,2019,Zion National Park,Temple of Sinawava,Handmade Cibachrome,30,Limited,solemnity-zion-national-park.jpg,solemnity-zion-national-park.jpg,solemnity-zion-national-park-home.jpg,solemnity-zion-national-park-biz.jpg,1613,2400
zion-national-park-ancient-sands,6,swirls-zion-national-park,Swirls,Utah,2014,Zion National Park,Wilderness,Handmade Cibachrome,30,Limited,swirls-zion-national-park.jpg,swirls-zion-national-park.jpg,swirls-zion-national-park-home.jpg,swirls-zion-national-park-biz.jpg,1600,1280
zion-national-park-ancient-sands,3,the-cosmic-wall-zion-national-park,The Cosmic Wall,Utah,2017,Zion National Park,Clear Creek,Handmade Cibachrome,30,Limited,the-cosmic-wall-zion-national-park.jpg,the-cosmic-wall-zion-national-park.jpg,the-cosmic-wall-zion-national-park-home.jpg,the-cosmic-wall-zion-national-park-biz.jpg,1920,2400
zion-national-park,2,the-way-of-wood-zion-national-park,The Topography of Wood,Utah,2015,Zion National Park,Clear Creek,Handmade Cibachrome,20,Limited,the-way-of-wood-zion-national-park.jpg,the-way-of-wood-zion-national-park.jpg,the-way-of-wood-zion-national-park-home.jpg,the-way-of-wood-zion-national-park-biz.jpg,1901,2400
zion-national-park-autumn,6,transitions-zion-national-park,Transitions,Utah,2009,Zion National Park,Pine Creek,Handmade Cibachrome,30,Limited,transitions-zion-national-park.jpg,transitions-zion-national-park.jpg,transitions-zion-national-park-home.jpg,transitions-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn-ii,7,tree-of-life-ii-zion-national-park,Tree of Life II,Utah,2016,Kolob Canyons,Taylor Creek South,Handmade Cibachrome,30,Limited,tree-of-life-ii-zion-national-park.jpg,tree-of-life-ii-zion-national-park.jpg,tree-of-life-ii-zion-national-park-home.jpg,tree-of-life-ii-zion-national-park-biz.jpg,1920,2400
zion-national-park-autumn-ii,3,trees-of-life-i-zion-national-park,Trees of Life I,Utah,2013,Zion National Park,East Side Canyon,Handmade Cibachrome,30,Limited,trees-of-life-i-zion-national-park.jpg,trees-of-life-i-zion-national-park.jpg,trees-of-life-i-zion-national-park-home.jpg,trees-of-life-i-zion-national-park-biz.jpg,1600,1280
zion-national-park-autumn-ii,1,twilight-maples-zion-national-park,Twilight Maples,Utah,2014,Zion National Park,Clear Creek,Handmade Cibachrome,30,Limited,twilight-maples-zion-national-park.jpg,twilight-maples-zion-national-park.jpg,twilight-maples-zion-national-park-home.jpg,twilight-maples-zion-national-park-biz.jpg,1920,2400
zion-national-park-watercourse-way,5,velvet-reflections-zion-national-park,Velvet Reflections,Utah,2006,Zion National Park,Virgin River,Handmade Cibachrome,30,Limited,velvet-reflections-zion-national-park.jpg,velvet-reflections-zion-national-park.jpg,velvet-reflections-zion-national-park-home.jpg,velvet-reflections-zion-national-park-biz.jpg,1920,2400
zion-national-park-autumn,20,yellow-and-crimson-maples-zion-national-park,Yellow and Crimson Maples,Utah,2012,Zion National Park,Zion Canyon,Handmade Cibachrome,30,Limited,yellow-and-crimson-maples-zion-national-park.jpg,yellow-and-crimson-maples-zion-national-park.jpg,yellow-and-crimson-maples-zion-national-park-home.jpg,yellow-and-crimson-maples-zion-national-park-biz.jpg,2160,2706
zion-national-park-autumn-ii,20,yellow-and-pink-maples-zion-national-park,Yellow and Pink Maples,Utah,2014,Zion National Park,Zion Canyon,Handmade Cibachrome,30,Limited,yellow-and-pink-maples-zion-national-park.jpg,yellow-and-pink-maples-zion-national-park.jpg,yellow-and-pink-maples-zion-national-park-home.jpg,yellow-and-pink-maples-zion-national-park-biz.jpg,2160,1710
zion-national-park,13,a-good-resting-place-zion-national-park,A Good Resting Place,Utah,2000,Zion National Park,Wilderness,Pigment Ink,25,Limited,a-good-resting-place-zion-national-park.jpg,a-good-resting-place-zion-national-park.jpg,a-good-resting-place-zion-national-park-home.jpg,a-good-resting-place-zion-national-park-biz.jpg,2160,1741
zion-national-park-watercourse-way,6,a-moment-in-time-zion-national-park,A Moment in Time,Utah,1997,Zion National Park,Pine Creek,Pigment Ink,25,Limited,a-moment-in-time-zion-national-park.jpg,a-moment-in-time-zion-national-park.jpg,a-moment-in-time-zion-national-park-home.jpg,a-moment-in-time-zion-national-park-biz.jpg,1600,1144
icons-of-agriculture,10,abandoned-granary-ione,Abandoned,Oregon,2014,Morrow County,Ione,Pigment Ink,25,Limited,abandoned-granary-ione.jpg,abandoned-granary-ione.jpg,abandoned-granary-ione-home.jpg,abandoned-granary-ione-biz.jpg,1600,1100
icons-of-agriculture-ii,3,air-pipes-chandon,Air Pipes,Oregon,2018,Gilliam County,Condon,Pigment Ink,25,Limited,air-pipes-chandon.jpg,air-pipes-chandon.jpg,air-pipes-chandon-home.jpg,air-pipes-chandon-biz.jpg,1820,2400
zion-national-park-autumn-ii,12,artist-palette-zion-national-park,Artist Palette,Utah,2014,Zion National Park,Zion Canyon,Pigment Ink,25,Limited,artist-palette-zion-national-park.jpg,artist-palette-zion-national-park.jpg,artist-palette-zion-national-park-home.jpg,artist-palette-zion-national-park-biz.jpg,2160,2728
the-american-west,4,aspen-canopy-crested-butte,Aspen Canopy at Dusk,Colorado,2020,Crested Butte,Kebler Pass,Pigment Ink,25,Limited,aspen-canopy-crested-butte.jpg,aspen-canopy-crested-butte.jpg,aspen-canopy-crested-butte-home.jpg,aspen-canopy-crested-butte-biz.jpg,1820,2400
the-american-west-ii,7,aspen-reflections-sierra-nevada,Aspen Reflections,California,2012,Sierra Nevada,Green Creek,Pigment Ink,25,Limited,aspen-reflections-sierra-nevada.jpg,aspen-reflections-sierra-nevada.jpg,aspen-reflections-sierra-nevada-home.jpg,aspen-reflections-sierra-nevada-biz.jpg,1940,2400
zion-national-park,14,aspiring-pine-zion-national-park,Aspiring Pine,Utah,2015,Zion National Park,Kolob Canyons,Pigment Ink,25,Limited,aspiring-pine-zion-national-park.jpg,aspiring-pine-zion-national-park.jpg,aspiring-pine-zion-national-park-home.jpg,aspiring-pine-zion-national-park-biz.jpg,,
the-american-west,11,bristlecone-pine-detail-white-mountains,Bristlecone Pine Detail,California,2011,Wilderness,White Mountains,Pigment Ink,25,Limited,bristlecone-pine-detail-white-mountains.jpg,bristlecone-pine-detail-white-mountains.jpg,bristlecone-pine-detail-white-mountains-home.jpg,bristlecone-pine-detail-white-mountains-biz.jpg,2160,1447
the-american-west-ii,14,cape-royal-grand-canyon,Cape Royal,Arizona,1999,Cape Royal,Grand Canyon,Pigment Ink,25,Limited,cape-royal-grand-canyon.jpg,cape-royal-grand-canyon.jpg,cape-royal-grand-canyon-home.jpg,cape-royal-grand-canyon-biz.jpg,2160,2746
the-american-west,12,cascade-creek-yosemite,Cascade Creek,California,2010,Cascade Creek,Yosemite National Park,Pigment Ink,25,Limited,cascade-creek-yosemite.jpg,cascade-creek-yosemite.jpg,cascade-creek-yosemite-home.jpg,cascade-creek-yosemite-biz.jpg,2160,2746
zion-national-park-autumn-ii,13,cascades-in-yellow-zion-national-park,Cascades in Yellow,Utah,2012,Zion National Park,Kolob Canyons,Pigment Ink,25,Limited,cascades-in-yellow-zion-national-park.jpg,cascades-in-yellow-zion-national-park.jpg,cascades-in-yellow-zion-national-park-home.jpg,cascades-in-yellow-zion-national-park-biz.jpg,2160,1750
icons-of-agriculture-iv,2,granary-wall-detail-chandon,Cement Silos,Oregon,2015,Gilliam County,Condon,Pigment Ink,25,Limited,granary-wall-detail-chandon.jpg,granary-wall-detail-chandon.jpg,granary-wall-detail-chandon-home.jpg,granary-wall-detail-chandon-biz.jpg,1600,1200
icons-of-agriculture-iii,5,chutes-davenport,Chutes and Ladders,Washington,2020,Lincoln County,Davenport,Pigment Ink,25,Limited,chutes-davenport.jpg,chutes-davenport.jpg,chutes-davenport-home.jpg,chutes-davenport-biz.jpg,1600,1200
icons-of-agriculture-ii,8,chutes-and-pulleys-harrington,Chutes and Pulleys,Washington,2020,Lincoln County,Harrington,Pigment Ink,25,Limited,chutes-and-pulleys-harrington.jpg,chutes-and-pulleys-harrington.jpg,chutes-and-pulleys-harrington-home.jpg,chutes-and-pulleys-harrington-biz.jpg,1600,1200
the-american-west,13,cityscape-monument-valley,Cityscape,Arizona,1996,Monument Valley,Monument Valley,Pigment Ink,25,Limited,cityscape-monument-valley.jpg,cityscape-monument-valley.jpg,cityscape-monument-valley-home.jpg,cityscape-monument-valley-biz.jpg,,
cloud-light,7,clearing-storm-red-hawk-vineyard,Clearing Storm,California,2010,Pope Valley,Red Hawk Vineyard,Pigment Ink,25,Limited,clearing-storm-red-hawk-vineyard.jpg,clearing-storm-red-hawk-vineyard.jpg,clearing-storm-red-hawk-vineyard-home.jpg,clearing-storm-red-hawk-vineyard-biz.jpg,1600,1600
icons-of-agriculture,13,clearing-storm-the-palouse,Clearing Storm,Washington,2018,The Palouse,Lion's Ferry Road,Pigment Ink,25,Limited,clearing-storm-the-palouse.jpg,clearing-storm-the-palouse.jpg,clearing-storm-the-palouse-home.jpg,clearing-storm-the-palouse-biz.jpg,1820,2400
the-american-west-ii,1,clearing-storm-steens-junction,Clearing Storm,Oregon,2013,Steens Mountain Wilderness,A Dirt Road,Pigment Ink,25,Limited,clearing-storm-steens-junction.jpg,clearing-storm-steens-junction.jpg,clearing-storm-steens-junction-home.jpg,clearing-storm-steens-junction-biz.jpg,1600,2400
zion-national-park-autumn-ii,14,cliff-and-maples-zion-national-park,Cliff & Maples,Utah,2000,Zion National Park,Tunnel View,Pigment Ink,25,Limited,cliff-and-maples-zion-national-park.jpg,cliff-and-maples-zion-national-park.jpg,cliff-and-maples-zion-national-park-home.jpg,cliff-and-maples-zion-national-park-biz.jpg,2160,1661
cloud-light,9,cloud-maze-salinas-valley,Cloud Maze,California,2010,Salinas Valley,Soledad,Pigment Ink,25,Limited,cloud-maze-salinas-valley.jpg,cloud-maze-salinas-valley.jpg,cloud-maze-salinas-valley-home.jpg,cloud-maze-salinas-valley-biz.jpg,1600,1600
the-american-west-ii,2,colorado-river-horseshoe-bend,Colorado River,Arizona,2012,Page,Big Bend,Pigment Ink,25,Limited,colorado-river-horseshoe-bend.jpg,colorado-river-horseshoe-bend.jpg,colorado-river-horseshoe-bend-home.jpg,colorado-river-horseshoe-bend-biz.jpg,1600,2400
the-american-west-ii,15,colorado-river-navajo-bridge,Colorado River,Arizona,2010,Vermillion Cliffs,Navajo Bridge,Pigment Ink,25,Limited,colorado-river-navajo-bridge.jpg,colorado-river-navajo-bridge.jpg,colorado-river-navajo-bridge-home.jpg,colorado-river-navajo-bridge-biz.jpg,2160,1439
icons-of-agriculture,5,conveyance-delevan,Conveyance,California,2017,Sacramento Valley,Delevan,Pigment Ink,25,Limited,conveyance-delevan.jpg,conveyance-delevan.jpg,conveyance-delevan-home.jpg,conveyance-delevan-biz.jpg,1720,2400
the-american-west,14,cottonwood-creek-aspens-white-mountains,Cottonwood Creek Aspens,California,2008,,White Mountains,Pigment Ink,25,Limited,cottonwood-creek-aspens-white-mountains.jpg,cottonwood-creek-aspens-white-mountains.jpg,cottonwood-creek-aspens-white-mountains-home.jpg,cottonwood-creek-aspens-white-mountains-biz.jpg,2160,2729
zion-national-park-autumn,13,crimson-tide-zion-national-park,Crimson Tide,Utah,2010,Zion National Park,Zion Canyon,Pigment Ink,25,Limited,crimson-tide-zion-national-park.jpg,crimson-tide-zion-national-park.jpg,crimson-tide-zion-national-park-home.jpg,crimson-tide-zion-national-park-biz.jpg,2160,2647
zion-national-park-ancient-sands,7,cross-bedding-zion-national-park,Cross Bedding,Utah,2015,Zion National Park,East Side,Pigment Ink,25,Limited,cross-bedding-zion-national-park.jpg,cross-bedding-zion-national-park.jpg,cross-bedding-zion-national-park-home.jpg,cross-bedding-zion-national-park-biz.jpg,2160,2816
zion-national-park-ancient-sands,8,cross-bedding-02-zion-national-park,Cross Bedding #2,Utah,2014,Zion National Park,East Side Canyon,Pigment Ink,25,Limited,cross-bedding-02-zion-national-park.jpg,cross-bedding-02-zion-national-park.jpg,cross-bedding-02-zion-national-park-home.jpg,cross-bedding-02-zion-national-park-biz.jpg,2160,2759
zion-national-park-ancient-sands,9,curling-sands-zion-national-park,Curling Sands,Utah,2014,Zion National Park,Clear Creek,Pigment Ink,25,Limited,curling-sands-zion-national-park.jpg,curling-sands-zion-national-park.jpg,curling-sands-zion-national-park-home.jpg,curling-sands-zion-national-park-biz.jpg,2160,2680
icons-of-agriculture-ii,1,details-cheyenne,Details,Colorado,2021,Cheyenne County,Cheyenne Wells,Pigment Ink,25,Limited,details-cheyenne.jpg,details-cheyenne.jpg,details-cheyenne-home.jpg,details-cheyenne-biz.jpg,1600,1200
cloud-light,10,dream-clouds-zion-national-park,Dream Clouds,Utah,2014,Colorado Plateau,Wilderness,Pigment Ink,25,Limited,dream-clouds-zion-national-park.jpg,dream-clouds-zion-national-park.jpg,dream-clouds-zion-national-park-home.jpg,dream-clouds-zion-national-park-biz.jpg,1600,1600
cloud-light,3,dream-clouds-ii-zion-national-park,Dream Clouds II,Utah,2014,Zion National Park,East Side,Pigment Ink,25,Limited,dream-clouds-ii-zion-national-park.jpg,dream-clouds-ii-zion-national-park.jpg,dream-clouds-ii-zion-national-park-home.jpg,dream-clouds-ii-zion-national-park-biz.jpg,1600,1600
icons-of-agriculture-iii,3,filtration-colby,"Dryer, Large Granary",Kansas,2021,Colby,Cornerstone AG,Pigment Ink,25,Limited,filtration-colby.jpg,filtration-colby.jpg,filtration-colby-home.jpg,filtration-colby-biz.jpg,1820,2400
the-american-west-ii,9,dusk-painted-hills,"Dusk, Painted Hills",Oregon,2012,Mitchell,John Day Fossil Beds,Pigment Ink,25,Limited,dusk-painted-hills.jpg,dusk-painted-hills.jpg,dusk-painted-hills-home.jpg,dusk-painted-hills-biz.jpg,1600,2400
icons-of-agriculture,4,electric-cortena,Electric,California,2014,Sacramento Valley,Cortena,Pigment Ink,25,Limited,electric-cortena.jpg,electric-cortena.jpg,electric-cortena-home.jpg,electric-cortena-biz.jpg,1620,2400
icons-of-agriculture,17,emergency-use-only-ritzville,Emergency Use Only,Oregon,2020,Adams County,Ritzville,Pigment Ink,25,Limited,emergency-use-only-ritzville.jpg,emergency-use-only-ritzville.jpg,emergency-use-only-ritzville-home.jpg,emergency-use-only-ritzville-biz.jpg,1600,1200
icons-of-agriculture-iv,13,granary-washtucna,Emptiness,Washington,2015,The Palouse,Washtucna,Pigment Ink,25,Limited,granary-washtucna.jpg,granary-washtucna.jpg,granary-washtucna-home.jpg,granary-washtucna-biz.jpg,1600,1173
cloud-light,1,ending-storm-steens-wilderness,Ending Storm,Oregon,2013,Steen's Junction,Along a Dirt Road,Pigment Ink,25,Limited,ending-storm-steens-wilderness.jpg,ending-storm-steens-wilderness.jpg,ending-storm-steens-wilderness-home.jpg,ending-storm-steens-wilderness-biz.jpg,1600,1600
